Facility Name,Activity Date,Service,Violation Description,Grade,Location
QUICK STOP MARKET #56,10/10/2012,111,Proper hot and cold holding temperatures,G,"3132 BEAUMONT AVE
OAKLAND, CA
(37.79926285302298, -122.2292736473824)"
QUICKLY,9/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"20893 REDWOOD RD
CASTRO VALLEY, CA
(37.69473503775908, -122.07398974214108)"
QUIK STOP MARKET #5052,11/1/2012,111,Adequate handwashing facilities supplied & accessi,G,"401 MERRITT AVE
OAKLAND, CA
(37.80610908145404, -122.24900937668411)"
QUIZNO'S,7/19/2012,111,Proper hot and cold holding temperatures,G,"15568 HESPERIAN BLVD
SAN LORENZO, CA
(37.68754857767712, -122.12998662213856)"
QUIZNOS SUB,11/29/2012,111,Wiping cloths: properly used and stored,G,"519 MAIN ST
PLEASANTON, CA
(37.660797624219825, -121.87576420486435)"
QUIZNOS SUBS,7/2/2012,111,"Equipment, utensils and linens: storage and use",G,"35111 NEWARK BLVD
NEWARK, CA
(37.54975788295901, -122.04798191160216)"
QUIZNOS SUBS #5040,8/24/2012,111,Proper hot and cold holding temperatures,G,"951 MARINA VILLAGE PKWY
ALAMEDA, CA
(37.783111029376755, -122.27122702004925)"
R & D CAFE,7/26/2012,111,Proper cooling methods,G,"15813 CHANNEL ST
SAN LORENZO, CA
(37.67703096194925, -122.14256994873153)"
RADIO BAR,11/7/2012,111,Food contact surfaces: clean and sanitized,G,"435 13TH ST
OAKLAND, CA
(37.803266277044074, -122.27086682293898)"
RAILROAD STOP DELI,10/9/2012,111,Proper hot and cold holding temperatures,G,"1210 26TH ST
OAKLAND, CA
(37.81908352045524, -122.2841120008869)"
RAJA INDIAN CUISINE AND BAR,7/5/2012,111,Adequate handwashing facilities supplied & accessi,G,"1275 W WINTON AVE
HAYWARD, CA
(37.65313524630838, -122.11567046061778)"
RAJA LIQUORS,11/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"3040 PACIFIC AVE
LIVERMORE, CA
(37.67621836590833, -121.75823425431724)"
RAJA LIQUORS & GROCERY,11/26/2012,111,Food storage food storage containers identified,G,"16672 E 14TH ST
SAN LEANDRO, CA
(37.69232492960212, -122.11003006999883)"
RAJA SWEETS AND INDIAN CUISINE,9/13/2012,111,Proper hot and cold holding temperatures,G,"31853 ALVARADO BLVD
FREMONT, CA
(37.550910000296426, -121.98217000044502)"
RALEYS #314,7/17/2012,111,Nonfood-contact surfaces clean,G,"6397 JARVIS AVE
NEWARK, CA
(37.54875032287001, -122.05081435706812)"
RANG DONG,11/20/2012,111,Proper hot and cold holding temperatures,G,"724 WEBSTER ST
OAKLAND, CA
(37.79871217389806, -122.27158918581709)"
RATTO'S MARKET,11/28/2012,111,Demonstration of knowledge food manager certifica,G,"821 WASHINGTON ST
OAKLAND, CA
(37.80084538082538, -122.27497080914871)"
RAY'S CRAB SHACK,9/6/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"5989 MOWRY AVE
NEWARK, CA
(37.52510789056933, -122.0077652746095)"
RECREATION AND WELLNESS CENTER,11/14/2012,111,Premises personal/cleaning items vermin-proofing,G,"25800 CARLOS BEE BLVD
HAYWARD, CA
(37.65892004126538, -122.0626213675082)"
RED APPLE PIZZA,11/19/2012,111,Adequate handwashing facilities supplied & accessi,G,"14799 WASHINGTON AVE
SAN LEANDRO, CA
(37.69680309422483, -122.13927849191037)"
RED BOY PIZZA,10/18/2012,111,Proper hot and cold holding temperatures,G,"1500 LEIMERT BLVD
OAKLAND, CA
(37.811475646180895, -122.21191673221693)"
RED LYON HOTEL,11/5/2012,111,Adequate ventilation and lighting designated area,G,"150 HEGENBERGER RD
OAKLAND, CA
(37.73071652794971, -122.19947910855171)"
RED ROBIN,11/8/2012,111,Thermometers provided and accurate,G,"4503 ROSEWOOD DR
PLEASANTON, CA
(37.700432008044366, -121.88429835328009)"
RED SMOKE GRILL,10/25/2012,111,Proper hot and cold holding temperatures,G,"4501 HOPYARD RD
PLEASANTON, CA
(37.68849335867412, -121.90359316769172)"
REDCOATS,9/25/2012,111,Food contact surfaces: clean and sanitized,G,"336 ST. MARY ST
PLEASANTON, CA
(37.66259298794285, -121.87545539549612)"
"REDWOOD CONVALESCENT HOSPITAL, INC.",8/14/2012,111,Equipment/Utensils - approved installed clean g,G,"22103 REDWOOD RD
CASTRO VALLEY, CA
(37.686834109530025, -122.07364330076027)"
RENDEZ-VOUS,9/10/2012,111,"Warewashing facilities: installed, maintained, use",G,"1111 SOLANO AVE
ALBANY, CA
(37.890355568495636, -122.29858045676136)"
RESTAURANT 4 CAMINOS,8/3/2012,111,Proper hot and cold holding temperatures,G,"3800 SAN LEANDRO ST
OAKLAND, CA
(37.772597954854234, -122.22119773555931)"
REVOLUTION CAFE & BREWING COMPANY,10/17/2012,111,Premises personal/cleaning items vermin-proofing,G,"1612 7TH ST
OAKLAND, CA
(37.806188352996564, -122.29848224293117)"
RICE AROMA,7/30/2012,111,Proper hot and cold holding temperatures,G,"27560 TAMPA AVE
HAYWARD, CA
(37.63197996235289, -122.07571441087941)"
RICO MAC TACO,10/10/2012,111,"Food in good condition, safe and unadulterated",G,"25125 SANTA CLARA ST
HAYWARD, CA
(37.64848975028995, -122.0897363870119)"
RICO'S,11/6/2012,111,Food storage food storage containers identified,G,"400 15TH ST
OAKLAND, CA
(37.80487536676446, -122.2693628673973)"
RIGATONI'S RESTAURANT,7/9/2012,111,Proper hot and cold holding temperatures,G,"20501 HESPERIAN BLVD
HAYWARD, CA
(37.66549501375753, -122.11813707148725)"
RISTORANTE IL PORCINO,9/24/2012,111,Signs posted last inspection report available,G,"3339 WALNUT AVE
FREMONT, CA
(37.55053374523539, -121.97898400423792)"
RITE AID #5921,7/25/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"24536 HESPERIAN BLVD
HAYWARD, CA
(37.64935027936957, -122.10783900310102)"
RITE AID #5925,10/30/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"968 MURRIETA BLVD
LIVERMORE, CA
(37.676235599414724, -121.78574600897224)"
RITE AID #5937,11/5/2012,111,Nonfood-contact surfaces clean,G,"1355 MACARTHUR BLVD
SAN LEANDRO, CA
(37.72903137939767, -122.13875923971804)"
RIVERS END MOUNTAIN HOUSE LLC,10/26/2012,131,"No rodents, insects, birds, or animals",G,"6020 LINDEMANN RD
DISCOVERY BAY, CA
(37.90274000035089, -121.6022199995532)"
ROBEKS JUICE,11/7/2012,111,Hot and cold water available,G,"2300 FIRST ST
LIVERMORE, CA
(37.682467901077814, -121.7679394327921)"
ROBERT LIVERMORE COMMUNITY CENTER,8/1/2012,111,Demonstration of knowledge food manager certifica,G,"4444 EAST AVE
LIVERMORE, CA
(37.679913826514564, -121.74102272445515)"
ROCHE - SODEXO,9/5/2012,111,Wiping cloths: properly used and stored,G,"4300 HACIENDA DR
PLEASANTON, CA
(37.69493250440388, -121.89455498129723)"
ROCK & ROLL SUSHI,11/29/2012,111,Food contact surfaces: clean and sanitized,G,"579 FLORESTA BLVD
SAN LEANDRO, CA
(37.70101527942262, -122.14435101999074)"
ROCKIN' CRAWFISH,8/21/2012,111,Garbage and refuse properly disposed facilities m,G,"211 FOOTHILL BLVD
OAKLAND, CA
(37.79907399539684, -122.25429278623756)"
ROCKWALL BISTRO,10/30/2012,111,"Equipment, utensils and linens: storage and use",G,"2301 MONARCH ST
ALAMEDA, CA
(37.78435114112607, -122.30857881336611)"
ROCKY MOUNTAIN CHOCOLATE FACTORY,11/16/2012,111,"Warewashing facilities: installed, maintained, use",G,"1144 STONERIDGE MALL RD
PLEASANTON, CA
(37.65803000018451, -121.87721999990293)"
ROCKY'S MARKET,10/18/2012,111,Demonstration of knowledge food manager certifica,G,"1440 LEIMERT BLVD
OAKLAND, CA
(37.8116734970273, -122.21241135933303)"
ROMA COFFEE BAR,11/19/2012,111,Demonstration of knowledge food manager certifica,G,"1221 BROADWAY
OAKLAND, CA
(37.803228863172194, -122.27190151157123)"
ROMANO PIZZA DELI,11/6/2012,111,Adequate handwashing facilities supplied & accessi,G,"2026 MACARTHUR BLVD
OAKLAND, CA
(37.80094614327221, -122.2181831688929)"
RONAKER'S COFFFEE SHOP,8/27/2012,111,Plumbing proper backflow devices,G,"2123 DOOLITTLE DR
SAN LEANDRO, CA
(37.705529882333344, -122.18073403094488)"
ROOM 389,10/19/2012,111,Demonstration of knowledge food manager certifica,G,"389 GRAND AVE
OAKLAND, CA
(37.80878667331325, -122.25423882691581)"
ROOSEVELT ELEMENTARY SCHOOL,10/10/2012,111,Adequate handwashing facilities supplied & accessi,G,"951 DOWLING BLVD
SAN LEANDRO, CA
(37.73637655594281, -122.14675539820874)"
ROOSEVELT JR HIGH SCHOOL,10/24/2012,111,"Equipment, utensils and linens: storage and use",G,"1926 19TH AVE
OAKLAND, CA
(37.78963245437787, -122.23791521448982)"
ROOZ CAFE,11/7/2012,111,Adequate handwashing facilities supplied & accessi,G,"1918 PARK BLVD
OAKLAND, CA
(37.80000929030729, -122.24963429812578)"
ROS DONUTS,7/11/2012,111,Proper hot and cold holding temperatures,G,"15918 HESPERIAN BLVD
SAN LORENZO, CA
(37.68021959600452, -122.1272545563786)"
ROSS DRESS FOR LESS,8/27/2012,111,Nonfood-contact surfaces clean,G,"2130 S SHORE CTR
ALAMEDA, CA
(37.75780730672728, -122.25534447320521)"
ROTTEN ROBBIE #64,8/1/2012,111,Demonstration of knowledge food manager certifica,G,"4186 EAST AVE
LIVERMORE, CA
(37.67993181295515, -121.74604094137862)"
ROTUNDA BUILDING (WARMING KITCHEN),7/19/2012,111,Hot and cold water available,G,"300 FRANK OGAWA PLZ
OAKLAND, CA
(37.80539622926278, -122.27127198615074)"
ROUND TABLE PIZZA #060,7/18/2012,111,Food contact surfaces: clean and sanitized,G,"40831 FREMONT BLVD
FREMONT, CA
(37.53435374441209, -121.96183322908696)"
ROUND TABLE PIZZA #875,8/24/2012,111,"Warewashing facilities: installed, maintained, use",G,"1024 E STANLEY BLVD
LIVERMORE, CA
(37.67881311040301, -121.78319629047988)"
ROYAL GROUND COFFEE,9/10/2012,111,"Warewashing facilities: installed, maintained, use",G,"1127 SOLANO AVE
ALBANY, CA
(37.890381579655134, -122.29802381794832)"
ROYAL MARKET,7/18/2012,111,Equipment/Utensils - approved installed clean g,G,"698 W SUNSET RD
HAYWARD, CA
(37.66834898469365, -122.11456186631608)"
ROYAL SUNSET HIGH,9/10/2012,111,Proper hot and cold holding temperatures,G,"20450 ROYAL AVE
HAYWARD, CA
(37.66911296894267, -122.1151227022034)"
RUBIO'S FRESH MEXICAN GRILL,7/24/2012,111,Proper hot and cold holding temperatures,G,"43405 CHRISTY ST
FREMONT, CA
(37.50457728252013, -121.97011873838368)"
RUBY HILL GOLF CLUB LLC,8/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"3400 W RUBY HILL DR
PLEASANTON, CA
(37.64008174513971, -121.81674641355609)"
RUDY'S CAN'T FAIL CAFE,7/24/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"1805 TELEGRAPH AVE
OAKLAND, CA
(37.80768782888831, -122.27011145540253)"
SABINO'S COFFEE HOUSE,11/5/2012,111,Nonfood-contact surfaces clean,G,"1273 MACARTHUR BLVD
SAN LEANDRO, CA
(37.72990713812334, -122.13898171564068)"
SAFEWAY #1257,7/18/2012,111,Proper hot and cold holding temperatures,G,"4495 FIRST ST
LIVERMORE, CA
(37.698249140396655, -121.742772736211)"
SAFEWAY #1502,7/12/2012,111,Thermometers provided and accurate,G,"1701 SANTA RITA RD
PLEASANTON, CA
(37.67501990240846, -121.87342333343459)"
SAFEWAY #1953,10/1/2012,111,Nonfood-contact surfaces clean,G,"7499 DUBLIN BLVD
DUBLIN, CA
(37.70490598570882, -121.92750614045082)"
SAFEWAY #2315,8/22/2012,111,Equipment/Utensils - approved installed clean g,G,"699 LEWELLING BLVD
SAN LEANDRO, CA
(37.686658741734334, -122.13858601394782)"
SAFEWAY #2708,10/1/2012,111,Adequate handwashing facilities supplied & accessi,G,"2227 SOUTH SHORE CTR
ALAMEDA, CA
(37.75711190826785, -122.25327910588419)"
SAFEWAY #2856,7/17/2012,111,Proper hot and cold holding temperatures,G,"6790 BERNAL AVE
PLEASANTON, CA
(37.65803000018451, -121.87721999990293)"
SAFEWAY #309,9/10/2012,111,Equipment/Utensils - approved installed clean g,G,"39100 ARGONAUT WAY
FREMONT, CA
(37.54474326062892, -121.98940626879767)"
SAFEWAY #676,9/18/2012,111,Adequate handwashing facilities supplied & accessi,G,"1500 SOLANO AVE
ALBANY, CA
(37.890912761028915, -122.28695616234171)"
SAFEWAY #910,10/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"1554 FIRST ST
LIVERMORE, CA
(37.67933495597704, -121.77674524014408)"
SAFEWAY #951,8/28/2012,111,"Floors, walls and ceilings: built, maintained, and",G,"867 ISLAND DR
ALAMEDA, CA
(37.73720063978101, -122.23890538631622)"
SAFEWAY #971,8/22/2012,111,Food storage food storage containers identified,G,"22280 FOOTHILL BLVD
HAYWARD, CA
(37.679448063326284, -122.08456959604213)"
SAFEWAY #993,7/26/2012,111,Adequate handwashing facilities supplied & accessi,G,"3902 WASHINGTON BLVD
FREMONT, CA
(37.532658837437, -121.9574355775859)"
SAFEWAY FUEL CENTER #2708,10/1/2012,111,Adequate handwashing facilities supplied & accessi,G,"2234 OTIS DR
ALAMEDA, CA
(37.75885631424654, -122.25061455913772)"
SAFEWAY STORE #3010,9/19/2012,111,Equipment/Utensils - approved installed clean g,G,"4015 E CASTRO VALLEY BLVD
CASTRO VALLEY, CA
(37.6958232600227, -122.05073676547791)"
SAFEWAY STORE #687,8/20/2012,111,Thermometers provided and accurate,G,"6310 COLLEGE AVE
OAKLAND, CA
(37.85045226293073, -122.25236823709486)"
SAI GON 2,9/27/2012,111,Proper cooling methods,G,"2113 MARINA BLVD
SAN LEANDRO, CA
(37.705391619604654, -122.17894758662277)"
SAI'S T VIETNAMESE RESTAURANT,9/18/2012,111,Food contact surfaces: clean and sanitized,G,"961 BLUEBELL DR
LIVERMORE, CA
(37.70599670847223, -121.73915332026837)"
SAIGON BISTRO LLC,10/31/2012,111,Adequate handwashing facilities supplied & accessi,G,"824 MAIN ST
PLEASANTON, CA
(37.664316023925714, -121.87409703275371)"
SAIGON RESTAURANT,8/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"326 FRANK OGAWA PLZ
OAKLAND, CA
(37.80590538526461, -122.27170237703132)"
SAKURA CAFE & SUSHI BAR,10/11/2012,111,Personal cleanliness and hair restraints,G,"2408 SANTA CLARA AVE
ALAMEDA, CA
(37.76509929406419, -122.24159322898963)"
SALA THAI RESTAURANT,9/5/2012,111,Wiping cloths: properly used and stored,G,"39170 STATE ST
FREMONT, CA
(37.54962449519997, -121.98370083232446)"
SALSA PICANTE,9/4/2012,111,Signs posted last inspection report available,G,"3933 WASHINGTON BLVD
FREMONT, CA
(37.53273078319933, -121.95804711656581)"
SALUD TOTAL,8/29/2012,111,Food contact surfaces: clean and sanitized,G,"22515 ALICE ST
HAYWARD, CA
(37.66987920519543, -122.09181722460332)"
SALUD Y MAS,8/21/2012,111,Adequate ventilation and lighting designated area,G,"925 W WINTON AVE
HAYWARD, CA
(37.65366261647932, -122.10872852257506)"
SALVATION ARMY,11/29/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"379 12TH ST
OAKLAND, CA
(37.802223729574486, -122.27036116220343)"
SALVATION ARMY KITCHEN,11/21/2012,111,Proper hot and cold holding temperatures,G,"601 WEBSTER ST
OAKLAND, CA
(37.79792408050665, -122.2722636314378)"
SAM'S LOG CABIN,11/28/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"945 SAN PABLO AVE
ALBANY, CA
(37.8885385508716, -122.29836855889351)"
SAMMY SUSHI,8/21/2012,111,Demonstration of knowledge food manager certifica,G,"3016 PACIFIC AVE
LIVERMORE, CA
(37.67622076693913, -121.75834350121869)"
SAMPAGUITA FIL-AM CUISINE,10/23/2012,111,Proper hot and cold holding temperatures,G,"1216 LINCOLN AVE
ALAMEDA, CA
(37.77476525830867, -122.26430254957032)"
SAMRAAT INDIAN RESTAURANT,10/15/2012,131,Demonstration of knowledge food manager certifica,G,"6275 JARVIS AVE
NEWARK, CA
(37.54926289460186, -122.0503759116452)"
SAN GASPAR RESTAURANT,9/19/2012,111,Adequate handwashing facilities supplied & accessi,G,"201 E 14TH ST
SAN LEANDRO, CA
(37.73468253809892, -122.16333535619412)"
SAN LEANDRO EXPRESS LIQUORS,10/31/2012,111,Adequate handwashing facilities supplied & accessi,G,"138 W JUANA AVE
SAN LEANDRO, CA
(37.72338792186755, -122.15438241023259)"
SAN LEANDRO HIGH SCHOOL,11/14/2012,111,Adequate handwashing facilities supplied & accessi,G,"2200 BANCROFT AVE
SAN LEANDRO, CA
(37.717892195811885, -122.14358624443071)"
SAN LEANDRO HOSPITAL,11/1/2012,111,Proper hot and cold holding temperatures,G,"13855 E 14TH ST
SAN LEANDRO, CA
(37.714582690744066, -122.14186853935473)"
SAN LEANDRO PUBLIC LIBRARY,10/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"300 ESTUDILLO AVE
SAN LEANDRO, CA
(37.725735695940216, -122.15347649616221)"
SAN LORENZO VALERO #5431,11/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"44 LEWELLING BLVD
SAN LORENZO, CA
(37.686658741734334, -122.12384612588755)"
SAN LORENZO VILLAGE HOA HALL/KITCHE,8/14/2012,111,Adequate ventilation and lighting designated area,G,"377 PASEO GRANDE
San Lorenzo, CA
(37.67994979939573, -122.12557282418385)"
SAN VICENTE RESTAURANT,11/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"1258 DAVIS ST
SAN LEANDRO, CA
(37.721343040682385, -122.16997030794779)"
SANCTUARY ULTRA LOUNGE,10/4/2012,111,Adequate handwashing facilities supplied & accessi,G,"2369 FIRST ST
LIVERMORE, CA
(37.68287559762271, -121.7673740969082)"
SANDWICH BOARD,8/29/2012,111,Proper hot and cold holding temperatures,G,"2412 WEBB AVE
ALAMEDA, CA
(37.765720350733304, -122.24118005264334)"
SANTA RITA CHEVRON,11/27/2012,111,Thermometers provided and accurate,G,"1797 SANTA RITA RD
PLEASANTON, CA
(37.676510501127545, -121.8739284807783)"
SANTORO'S ITALIAN MARKET & DELI,10/31/2012,111,Food contact surfaces: clean and sanitized,G,"475 SANTA CLARA AVE
ALAMEDA, CA
(37.77349727688352, -122.28252250473724)"
SANTOS LIQUORS,9/20/2012,111,Nonfood-contact surfaces clean,G,"1431 WEBSTER ST
ALAMEDA, CA
(37.77226520570338, -122.2768567759527)"
SARAVANAA BHAVAN,8/29/2012,111,Signs posted last inspection report available,G,"3720 MOWRY AVE
FREMONT, CA
(37.55021189377474, -121.98695830634527)"
SATOMI SUSHI,10/3/2012,111,Food storage food storage containers identified,G,"3655 THORNTON AVE
FREMONT, CA
(37.562370675634895, -122.01002432329186)"
SAUDAGAR SUPERMARKET,8/17/2012,111,Nonfood-contact surfaces clean,G,"26643 MISSION BLVD
HAYWARD, CA
(37.64667291682186, -122.06357874325293)"
SAV MOR LIQUORS,11/5/2012,111,"Toxic substances properly identified, stored, used",G,"1333 PERALTA ST
OAKLAND, CA
(37.81093972602544, -122.29434328116211)"
SBARRO ITALIAN PIZZA #562,8/28/2012,111,Proper hot and cold holding temperatures,G,"2077 NEWPARK MALL
NEWARK, CA
(37.52517185930987, -121.99756442100916)"
SCOBIES,9/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"2431 CENTRAL AVE
ALAMEDA, CA
(37.76371919071841, -122.24157629888973)"
SCOTT'S SEAFOOD BAR AND GRILL,7/5/2012,111,Proper hot and cold holding temperatures,G,"73 JACK LONDON SQUARE
OAKLAND, CA
(37.795208813592104, -122.27692522036348)"
SEBASTIAN CAFE,8/21/2012,111,Proper hot and cold holding temperatures,G,"24301 SOUTHLAND DR
HAYWARD, CA
(37.65344677919228, -122.10459164124029)"
SECOND HELPING,8/15/2012,111,Signs posted last inspection report available,G,"7060 KOLL CENTER PKWY
PLEASANTON, CA
(37.66230234874326, -121.90047036285091)"
SEE'S CANDIES,9/17/2012,111,Adequate handwashing facilities supplied & accessi,G,"2244 SOUTH SHORE CTR
ALAMEDA, CA
(37.75682190264435, -122.25298386358078)"
SEE'S CANDIES #2108,8/16/2012,111,Signs posted last inspection report available,G,"1933 DAVIS ST
SAN LEANDRO, CA
(37.7180630669975, -122.18053938661467)"
SEVENTH STEP FOUNDATION INC,11/30/2012,111,"Warewashing facilities: installed, maintained, use",G,"475 MEDFORD AVE
HAYWARD, CA
(37.681829382437, -122.10580572597979)"
SHALIMAR RESTAURANT,9/24/2012,111,"Warewashing facilities: installed, maintained, use",G,"3325 WALNUT AVE
FREMONT, CA
(37.55061065752555, -121.97892674107298)"
SHAN'S CAFE,8/20/2012,111,Proper hot and cold holding temperatures,G,"2700 MERCED ST
SAN LEANDRO, CA
(37.70272063317765, -122.16691465787073)"
SHANGHAI RESTAURANT,8/17/2012,111,Food separated and protected,G,"46132 WARM SPRINGS BLVD
FREMONT, CA
(37.49329883235939, -121.93133477798311)"
SHANGHAI TAPAS,9/20/2012,111,Food storage food storage containers identified,G,"34129 FREMONT BLVD
FREMONT, CA
(37.576325857458194, -122.04369869955501)"
SHARIS OF CASTRO VALLEY #249,8/16/2012,111,Adequate handwashing facilities supplied & accessi,G,"3360 CASTRO VALLEY BLVD
CASTRO VALLEY, CA
(37.695598002705594, -122.07718030578718)"
SHARIS OF LIVERMORE #248,8/29/2012,111,Proper hot and cold holding temperatures,G,"1116 E STANLEY BLVD
LIVERMORE, CA
(37.679196463451945, -121.78155193089393)"
SHASHAMENE RESTAURANT,9/24/2012,111,Demonstration of knowledge food manager certifica,G,"2507 BROADWAY
OAKLAND, CA
(37.81419183316946, -122.26508798261605)"
SHEBA DINING,9/17/2012,111,Demonstration of knowledge food manager certifica,G,"377 13TH ST
OAKLAND, CA
(37.80288234732496, -122.2698869110751)"
SHERATON PLEASANTON HOTEL,11/6/2012,111,Food contact surfaces: clean and sanitized,G,"5990 STONERIDGE MALL RD
PLEASANTON, CA
(37.69799919252381, -121.9299433031502)"
SHISH KABAB,11/29/2012,111,Proper hot and cold holding temperatures,G,"377 13TH ST
OAKLAND, CA
(37.80288234732496, -122.2698869110751)"
SHOPPER'S MARKET,9/17/2012,111,Adequate handwashing facilities supplied & accessi,G,"2101 23RD AVE
OAKLAND, CA
(37.78892064968602, -122.23151295923537)"
SIDEBAR,9/12/2012,111,"Food in good condition, safe and unadulterated",G,"542-544 GRAND AVE
OAKLAND, CA
(37.80505999961946, -122.27301999967312)"
SIERRA DELI AND MARKET,10/12/2012,111,Demonstration of knowledge food manager certifica,G,"311 OAK ST
OAKLAND, CA
(37.793830947966, -122.2674318810856)"
SILVA BAKERY,11/2/2012,111,Adequate handwashing facilities supplied & accessi,G,"18563 MISSION BLVD
HAYWARD, CA
(37.68789545691752, -122.1039437198743)"
SILVER DRAGON CAFE,9/20/2012,111,Proper hot and cold holding temperatures,G,"1 AIRPORT DR
OAKLAND, CA
(37.716699542063104, -122.20885863744216)"
SILVER PALACE RESTAURANT & BAR,10/3/2012,111,Proper cooling methods,G,"6516 MORAGA AVE
OAKLAND, CA
(37.82603531823305, -122.21034047165743)"
SIMPLY GREEK,8/1/2012,111,Proper hot and cold holding temperatures,G,"4060 PIEDMONT AVE
OAKLAND, CA
(37.82609648448037, -122.2527162236509)"
SIMPLY THAI,10/30/2012,111,Hands clean and properly washed gloves used prope,G,"6295 JARVIS AVE
NEWARK, CA
(37.54917814669046, -122.05044715576852)"
SINCERE SEAFOOD COMPANY,11/1/2012,111,Adequate handwashing facilities supplied & accessi,G,"907 WASHINGTON ST
OAKLAND, CA
(37.80145064576958, -122.27459767077144)"
SINODINOS STEAK INC,10/12/2012,111,Demonstration of knowledge food manager certifica,G,"36665 CEDAR BLVD
NEWARK, CA
(37.54306399331597, -122.02780752637864)"
SIZZLER #1287,9/6/2012,111,"Food in good condition, safe and unadulterated",G,"665 SAN PABLO AVE
ALBANY, CA
(37.89364669999799, -122.29999633176658)"
SIZZLER RESTAURANT,8/28/2012,111,Equipment/Utensils - approved installed clean g,G,"24107 HESPERIAN BLVD
HAYWARD, CA
(37.652439538519445, -122.10998757341605)"
SKEWERS MED-DELIGHT,9/24/2012,111,Adequate handwashing facilities supplied & accessi,G,"311-315 20TH ST
OAKLAND, CA
(37.80505999961946, -122.27301999967312)"
SLICE OF HOLLYWOOD,9/13/2012,111,"Food in good condition, safe and unadulterated",G,"3306 LAKESHORE AVE
OAKLAND, CA
(37.8107089875877, -122.24402828792512)"
SLIKKER'S DONUTS,11/5/2012,111,Adequate handwashing facilities supplied & accessi,G,"1321 MACARTHUR BLVD
SAN LEANDRO, CA
(37.729341293407316, -122.13886151395428)"
SMITTY'S COCKTAIL LOUNGE,9/6/2012,111,Premises personal/cleaning items vermin-proofing,G,"3339 GRAND AVE
OAKLAND, CA
(37.8132383173583, -122.24687337949581)"
SNAPPY'S CAFE,8/8/2012,111,Proper hot and cold holding temperatures,G,"978 A ST
HAYWARD, CA
(37.67373548417328, -122.08408709897225)"
SNOW ELEMENTARY SCHOOL,10/1/2012,111,Food contact surfaces: clean and sanitized,G,"6580 MIRABEAU DR
NEWARK, CA
(37.54344403268956, -122.04913956047945)"
SNOWFLAKE TEA HOUSE,8/10/2012,111,Adequate handwashing facilities supplied & accessi,G,"43773 BOSCELL RD
FREMONT, CA
(37.500630258094006, -121.9729845051638)"
SOCIETY OF ST VINCENT DE PAUL,9/18/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"9235 SAN LEANDRO ST
OAKLAND, CA
(37.742416707550944, -122.18366902727661)"
SODEXO CAFE (CORONADO CAFE),8/8/2012,111,Nonfood-contact surfaces clean,G,"4125 HOPYARD RD
PLEASANTON, CA
(37.685165867165665, -121.90364712701347)"
SOLANO CELLARS,8/29/2012,111,"Warewashing facilities: installed, maintained, use",G,"1580 SOLANO AVE
ALBANY, CA
(37.89102706756721, -122.28457354593134)"
SOLANO YOGURT & ICE CREAM,8/8/2012,111,Adequate handwashing facilities supplied & accessi,G,"1415 SOLANO AVE
ALBANY, CA
(37.89083182204632, -122.28955520300639)"
SOMAR,8/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"1727 TELEGRAPH AVE
OAKLAND, CA
(37.80728480552432, -122.27018380649525)"
SONG PA KOREAN RESTAURANT,11/19/2012,111,Proper hot and cold holding temperatures,G,"2025 SANTA RITA RD
PLEASANTON, CA
(37.67978792143049, -121.87512962546435)"
SONIC DRIVE-IN,9/17/2012,111,Proper hot and cold holding temperatures,G,"31187 MISSION BLVD
HAYWARD, CA
(37.61932650140062, -122.03509203481593)"
SOUK SAVANH,11/20/2012,111,Proper hot and cold holding temperatures,G,"1927 INTERNATIONAL BLVD
OAKLAND, CA
(37.78623048042396, -122.2407627976513)"
SOULEY VEGAN,9/18/2012,111,Demonstration of knowledge food manager certifica,G,"301 BROADWAY AVE
OAKLAND, CA
(37.79679913566744, -122.27597907347405)"
SOZO,11/29/2012,111,"No discharge from eyes, nose, and mouth",G,"2835 HOPYARD RD
PLEASANTON, CA
(37.67518502258888, -121.89574294413731)"
SPECIALTY FOODS INC,10/26/2012,111,Food storage food storage containers identified,G,"535 8TH ST
OAKLAND, CA
(37.80093559199747, -122.27575060985663)"
SPECIALTY'S CAFE & BAKERY,7/12/2012,111,Proper hot and cold holding temperatures,G,"6200 STONERIDGE MALL RD
PLEASANTON, CA
(37.69402761796507, -121.92436942761738)"
SPICE MONKEY,11/21/2012,111,Adequate handwashing facilities supplied & accessi,G,"1628 WEBSTER ST
OAKLAND, CA
(37.805201048441646, -122.26757912910793)"
